Product List as of 07/12/2021,,,,,,
Product Code,Product Description,Product Group,Pack,Allocated,On Hand,Units
3D LANTERN GLOSS WHITE,"3D LANTERN GLOSS WHITE DSTC18
SHEET SIZE 308X280MM
12 SHEETS/BOX=1.03M2",3D,,0.0000,52.3800,M2
3D MAMARRA + THASSOS HONED,"3D MAMARRA + THASSOS HONED
SHEET SIZE 305X305X10MM
10.75 SHEETS/M2
5 SH/BOX=0.465M2",3D,,11.0000,41.3600,M2
48HEX PIETRA GRY H,"HEXAGON PIETRA GREY HONED 
CHIP SIZE 48X48X7MM 
SHEET SIZE 298X305MM
11 SHEETS/M2
10 SHEETS/BOX=0.909M2",HEXAGON,,0.0000,13.1684,M2
48HEX PIETRA GRY H -01,"HEXAGON PIETRA GREY HONED 
CHIP SIZE 48X48X7MM 
SHEET SIZE 298X305MM
11 SHEETS/M2
10 SHEETS/BOX=0.909M2",HEXAGON,,0.0000,57.2600,M2
48HEXCALH,"HEXAGON CALACATTA GOLD HONED 
CHIP SIZE 48X48X7MM 
SHEET SIZE 298X305MM
11 SHEETS/M2
10SHEETS/BOX=0.909M2",HEXAGON,,0.0000,2.9900,M2
48HEXCALH -01,"HEXAGON CALACATTA GOLD HONED 
CHIP SIZE 48X48X7MM 
SHEET SIZE 298X305MM
11 SHEETS/M2
10SHEETS/BOX=0.909M2",HEXAGON,,0.0000,49.9280,M2
48HEXCARH,"HEXAGON CARRARA HONED 48X48
CHIP SIZE 48X48X7MM 
SHEET SIZE 298X305X7MM
11 SHEETS/M2 10SH/BOX",HEXAGON,,0.0000,0.5133,M2
48HEXCARH -01,"HEXAGON CARRARA HONED 48X48 
CHIP SIZE 48X48X10MM  SHEET SIZE 298X305X10MM 
11 SHEETS/M2 5SH/BOX=0.454M2",HEXAGON,,15.0000,51.3550,M2
48HEXCART,"HEXAGON CARRARA TUMBLED 
CHIP SIZE 48X48 SHEET SIZE 289X305X10MM 11SHEETS/M2 5SH/BOX=0.45M2",HEXAGON,,0.0000,49.1000,M2
4TERFUM,"TERRAZZO FUSION MATT GLY-4481M 400X400
SH:14A10 6.25PC/M2
4PCS/BOX =0.64M2",,,0.0000,249.4400,M2
